Date,Hour,Redemption_Count,Sales_Count
2023-08-01,05-00-00,0,134
2023-08-01,06-00-00,43,66
2023-08-01,07-00-00,49,83
2023-08-01,08-00-00,83,194
2023-08-01,09-00-00,885,847
2023-08-01,10-00-00,1385,992
2023-08-01,11-00-00,1441,1382
2023-08-01,12-00-00,1338,1123
2023-08-01,13-00-00,966,929
2023-08-01,14-00-00,1118,855
2023-08-01,15-00-00,893,801
2023-08-01,16-00-00,657,661
2023-08-01,17-00-00,392,465
2023-08-01,18-00-00,401,428
2023-08-01,19-00-00,237,302
2023-08-01,20-00-00,119,251
2023-08-01,21-00-00,55,157
2023-08-01,22-00-00,32,127
2023-08-01,23-00-00,24,181
2023-08-02,00-00-00,0,41
2023-08-02,01-00-00,0,17
2023-08-02,02-00-00,0,6
2023-08-02,03-00-00,0,2
2023-08-02,04-00-00,0,2
2023-08-02,06-00-00,49,43
2023-08-02,07-00-00,37,67
2023-08-02,08-00-00,133,234
2023-08-02,09-00-00,829,1052
2023-08-02,10-00-00,1349,858
2023-08-02,11-00-00,1318,1132
2023-08-02,12-00-00,1218,938
2023-08-02,13-00-00,978,1013
2023-08-02,14-00-00,1025,1019
2023-08-02,15-00-00,763,876
2023-08-02,16-00-00,634,549
2023-08-02,17-00-00,419,487
2023-08-02,18-00-00,360,372
2023-08-02,19-00-00,192,226
2023-08-02,20-00-00,130,186
2023-08-02,21-00-00,65,134
2023-08-02,22-00-00,93,184
2023-08-02,23-00-00,22,95
2023-08-03,00-00-00,0,44
2023-08-03,01-00-00,0,2
2023-08-03,02-00-00,0,3
2023-08-03,03-00-00,0,5
2023-08-03,04-00-00,0,5
2023-08-03,05-00-00,0,8
2023-08-03,06-00-00,43,21
2023-08-03,07-00-00,35,66
2023-08-03,08-00-00,120,333
2023-08-03,09-00-00,594,860
2023-08-03,10-00-00,780,830
2023-08-03,11-00-00,1007,1002
2023-08-03,12-00-00,942,976
2023-08-03,13-00-00,1139,1088
2023-08-03,14-00-00,886,1059
2023-08-03,15-00-00,749,799
2023-08-03,16-00-00,624,573
2023-08-03,17-00-00,481,506
2023-08-03,18-00-00,515,492
2023-08-03,19-00-00,328,393
2023-08-03,20-00-00,165,288
2023-08-03,21-00-00,47,219
2023-08-03,22-00-00,39,152
2023-08-03,23-00-00,12,105
2023-08-04,00-00-00,0,32
2023-08-04,01-00-00,0,8
