Time,sale_value,redemption_value
2023-08-01T04:00:00Z,55,53
2023-08-01T05:00:00Z,68,76
2023-08-01T06:00:00Z,107,140
2023-08-01T07:00:00Z,178,240
2023-08-01T08:00:00Z,278,361
2023-08-01T09:00:00Z,383,494
2023-08-01T10:00:00Z,502,638
2023-08-01T11:00:00Z,611,765
2023-08-01T12:00:00Z,718,865
2023-08-01T13:00:00Z,820,929
2023-08-01T14:00:00Z,895,946
2023-08-01T15:00:00Z,940,928
2023-08-01T16:00:00Z,952,861
2023-08-01T17:00:00Z,937,761
2023-08-01T18:00:00Z,893,637
2023-08-01T19:00:00Z,823,500
2023-08-01T20:00:00Z,724,370
2023-08-01T21:00:00Z,615,236
2023-08-01T22:00:00Z,493,140
2023-08-01T23:00:00Z,382,72
2023-08-02T00:00:00Z,275,51
2023-08-02T01:00:00Z,183,60
2023-08-02T02:00:00Z,103,141
2023-08-02T03:00:00Z,68,238
2023-08-02T04:00:00Z,48,52
2023-08-02T05:00:00Z,64,79
2023-08-02T06:00:00Z,107,140
2023-08-02T07:00:00Z,185,229
2023-08-02T08:00:00Z,277,363
2023-08-02T09:00:00Z,387,504
2023-08-02T10:00:00Z,509,644
2023-08-02T11:00:00Z,610,759
2023-08-02T12:00:00Z,724,861
2023-08-02T13:00:00Z,816,919
2023-08-02T14:00:00Z,889,953
2023-08-02T15:00:00Z,945,925
2023-08-02T16:00:00Z,953,856
2023-08-02T17:00:00Z,938,761
2023-08-02T18:00:00Z,893,638
2023-08-02T19:00:00Z,822,505
2023-08-02T20:00:00Z,726,361
2023-08-02T21:00:00Z,612,227
2023-08-02T22:00:00Z,493,126
2023-08-02T23:00:00Z,385,75
2023-08-03T00:00:00Z,274,46
2023-08-03T01:00:00Z,175,64
2023-08-03T02:00:00Z,110,131
2023-08-03T03:00:00Z,67,227
2023-08-03T04:00:00Z,44,56
2023-08-03T05:00:00Z,68,63
2023-08-03T06:00:00Z,120,147
2023-08-03T07:00:00Z,187,240
2023-08-03T08:00:00Z,265,365
2023-08-03T09:00:00Z,394,502
2023-08-03T10:00:00Z,487,643
2023-08-03T11:00:00Z,621,768
2023-08-03T12:00:00Z,723,862
2023-08-03T13:00:00Z,815,926
2023-08-03T14:00:00Z,889,950
2023-08-03T15:00:00Z,930,923
2023-08-03T16:00:00Z,956,864
2023-08-03T17:00:00Z,931,761
2023-08-03T18:00:00Z,895,631
2023-08-03T19:00:00Z,814,503
2023-08-03T20:00:00Z,717,360
2023-08-03T21:00:00Z,624,245
2023-08-03T22:00:00Z,505,139
2023-08-03T23:00:00Z,373,73
2023-08-04T00:00:00Z,281,48
2023-08-04T01:00:00Z,182,72
2023-08-04T02:00:00Z,110,140
2023-08-04T03:00:00Z,61,236
2023-08-04T04:00:00Z,48,53
2023-08-04T05:00:00Z,63,62
2023-08-04T06:00:00Z,102,131
2023-08-04T07:00:00Z,183,241
2023-08-04T08:00:00Z,271,355
2023-08-04T09:00:00Z,385,502
2023-08-04T10:00:00Z,501,635
2023-08-04T11:00:00Z,608,771
2023-08-04T12:00:00Z,728,859
2023-08-04T13:00:00Z,819,935
2023-08-04T14:00:00Z,887,946
2023-08-04T15:00:00Z,931,924
2023-08-04T16:00:00Z,952,870
2023-08-04T17:00:00Z,932,762
2023-08-04T18:00:00Z,888,638
2023-08-04T19:00:00Z,817,506
2023-08-04T20:00:00Z,727,359
2023-08-04T21:00:00Z,608,237
2023-08-04T22:00:00Z,495,140
2023-08-04T23:00:00Z,384,72
2023-08-05T00:00:00Z,282,62
2023-08-05T01:00:00Z,184,76
2023-08-05T02:00:00Z,109,136
2023-08-05T03:00:00Z,64,233
2023-08-05T04:00:00Z,48,55
2023-08-05T05:00:00Z,58,74
2023-08-05T06:00:00Z,118,137
2023-08-05T07:00:00Z,181,228
2023-08-05T08:00:00Z,266,364
2023-08-05T09:00:00Z,379,501
2023-08-05T10:00:00Z,496,641
2023-08-05T11:00:00Z,617,760
2023-08-05T12:00:00Z,722,871
2023-08-05T13:00:00Z,817,925
2023-08-05T14:00:00Z,884,944
2023-08-05T15:00:00Z,937,927
2023-08-05T16:00:00Z,952,858
2023-08-05T17:00:00Z,936,769
2023-08-05T18:00:00Z,888,637
2023-08-05T19:00:00Z,815,491
2023-08-05T20:00:00Z,724,362
2023-08-05T21:00:00Z,614,230
2023-08-05T22:00:00Z,503,140
2023-08-05T23:00:00Z,380,83
2023-08-06T00:00:00Z,273,52
2023-08-06T01:00:00Z,177,75
2023-08-06T02:00:00Z,115,129
2023-08-06T03:00:00Z,62,233
2023-08-06T04:00:00Z,49,51
2023-08-06T05:00:00Z,52,70
2023-08-06T06:00:00Z,106,136
2023-08-06T07:00:00Z,181,238
2023-08-06T08:00:00Z,278,355
2023-08-06T09:00:00Z,385,498
2023-08-06T10:00:00Z,496,641
2023-08-06T11:00:00Z,625,766
2023-08-06T12:00:00Z,723,860
2023-08-06T13:00:00Z,821,927
2023-08-06T14:00:00Z,888,951
2023-08-06T15:00:00Z,933,923
2023-08-06T16:00:00Z,944,866
2023-08-06T17:00:00Z,937,761
2023-08-06T18:00:00Z,892,638
2023-08-06T19:00:00Z,828,494
2023-08-06T20:00:00Z,728,364
2023-08-06T21:00:00Z,621,238
2023-08-06T22:00:00Z,500,130
2023-08-06T23:00:00Z,379,75
2023-08-07T00:00:00Z,271,52
2023-08-07T01:00:00Z,182,76
2023-08-07T02:00:00Z,107,139
2023-08-07T03:00:00Z,66,234
2023-08-07T04:00:00Z,47,50
2023-08-07T05:00:00Z,58,76
2023-08-07T06:00:00Z,112,136
2023-08-07T07:00:00Z,171,234
2023-08-07T08:00:00Z,272,354
2023-08-07T09:00:00Z,382,498
2023-08-07T10:00:00Z,495,639
2023-08-07T11:00:00Z,609,771
2023-08-07T12:00:00Z,723,867
2023-08-07T13:00:00Z,814,919
2023-08-07T14:00:00Z,885,949
2023-08-07T15:00:00Z,932,920
2023-08-07T16:00:00Z,948,864
2023-08-07T17:00:00Z,940,765
2023-08-07T18:00:00Z,895,637
2023-08-07T19:00:00Z,816,493
2023-08-07T20:00:00Z,721,363
2023-08-07T21:00:00Z,619,228
2023-08-07T22:00:00Z,496,133
2023-08-07T23:00:00Z,386,60
2023-08-08T00:00:00Z,283,41
2023-08-08T01:00:00Z,174,60
2023-08-08T02:00:00Z,107,138
2023-08-08T03:00:00Z,62,240
2023-08-08T04:00:00Z,49,56
2023-08-08T05:00:00Z,67,71
2023-08-08T06:00:00Z,112,139
2023-08-08T07:00:00Z,173,228
2023-08-08T08:00:00Z,273,364
2023-08-08T09:00:00Z,384,504
2023-08-08T10:00:00Z,493,634
2023-08-08T11:00:00Z,604,762
2023-08-08T12:00:00Z,728,861
2023-08-08T13:00:00Z,816,918
2023-08-08T14:00:00Z,887,959
2023-08-08T15:00:00Z,937,936
2023-08-08T16:00:00Z,950,864
2023-08-08T17:00:00Z,933,763
2023-08-08T18:00:00Z,887,642
2023-08-08T19:00:00Z,816,508
2023-08-08T20:00:00Z,734,365
2023-08-08T21:00:00Z,622,239
2023-08-08T22:00:00Z,507,133
2023-08-08T23:00:00Z,376,63
2023-08-09T00:00:00Z,267,50
2023-08-09T01:00:00Z,193,70
2023-08-09T02:00:00Z,114,133
2023-08-09T03:00:00Z,68,237
2023-08-09T04:00:00Z,44,53
2023-08-09T05:00:00Z,69,69
2023-08-09T06:00:00Z,111,141
2023-08-09T07:00:00Z,177,233
2023-08-09T08:00:00Z,275,357
2023-08-09T09:00:00Z,384,504
2023-08-09T10:00:00Z,494,645
2023-08-09T11:00:00Z,629,761
2023-08-09T12:00:00Z,716,858
2023-08-09T13:00:00Z,821,922
2023-08-09T14:00:00Z,888,952
2023-08-09T15:00:00Z,932,928
2023-08-09T16:00:00Z,953,867
2023-08-09T17:00:00Z,934,771
2023-08-09T18:00:00Z,887,641
2023-08-09T19:00:00Z,814,501
2023-08-09T20:00:00Z,727,355
2023-08-09T21:00:00Z,625,238
2023-08-09T22:00:00Z,505,133
2023-08-09T23:00:00Z,387,69
2023-08-10T00:00:00Z,278,50
2023-08-10T01:00:00Z,177,67
2023-08-10T02:00:00Z,116,140
2023-08-10T03:00:00Z,64,230
2023-08-10T04:00:00Z,47,40
2023-08-10T05:00:00Z,65,74
2023-08-10T06:00:00Z,99,136
2023-08-10T07:00:00Z,182,245
2023-08-10T08:00:00Z,272,359
2023-08-10T09:00:00Z,382,500
2023-08-10T10:00:00Z,504,633
2023-08-10T11:00:00Z,627,764
2023-08-10T12:00:00Z,721,864
2023-08-10T13:00:00Z,825,933
2023-08-10T14:00:00Z,892,955
2023-08-10T15:00:00Z,936,927
2023-08-10T16:00:00Z,947,857
2023-08-10T17:00:00Z,937,758
2023-08-10T18:00:00Z,885,628
2023-08-10T19:00:00Z,811,496
2023-08-10T20:00:00Z,721,361
2023-08-10T21:00:00Z,623,236
2023-08-10T22:00:00Z,504,136
2023-08-10T23:00:00Z,376,73
2023-08-11T00:00:00Z,278,48
2023-08-11T01:00:00Z,182,77
2023-08-11T02:00:00Z,115,141
2023-08-11T03:00:00Z,63,238
2023-08-11T04:00:00Z,61,46
2023-08-11T05:00:00Z,66,77
2023-08-11T06:00:00Z,117,137
2023-08-11T07:00:00Z,187,237
2023-08-11T08:00:00Z,273,359
2023-08-11T09:00:00Z,386,503
2023-08-11T10:00:00Z,508,636
2023-08-11T11:00:00Z,619,766
2023-08-11T12:00:00Z,721,856
2023-08-11T13:00:00Z,812,932
2023-08-11T14:00:00Z,888,949
2023-08-11T15:00:00Z,937,928
2023-08-11T16:00:00Z,954,861
2023-08-11T17:00:00Z,929,763
2023-08-11T18:00:00Z,887,629
2023-08-11T19:00:00Z,819,516
2023-08-11T20:00:00Z,721,358
2023-08-11T21:00:00Z,620,230
2023-08-11T22:00:00Z,505,135
2023-08-11T23:00:00Z,390,68
2023-08-12T00:00:00Z,272,47
2023-08-12T01:00:00Z,177,76
2023-08-12T02:00:00Z,102,144
2023-08-12T03:00:00Z,73,233
2023-08-12T04:00:00Z,53,46
2023-08-12T05:00:00Z,75,75
2023-08-12T06:00:00Z,106,135
2023-08-12T07:00:00Z,181,231
2023-08-12T08:00:00Z,273,356
2023-08-12T09:00:00Z,391,499
2023-08-12T10:00:00Z,496,648
2023-08-12T11:00:00Z,608,769
2023-08-12T12:00:00Z,714,863
2023-08-12T13:00:00Z,813,933
2023-08-12T14:00:00Z,885,954
2023-08-12T15:00:00Z,944,927
2023-08-12T16:00:00Z,955,866
2023-08-12T17:00:00Z,943,771
2023-08-12T18:00:00Z,897,639
2023-08-12T19:00:00Z,821,505
2023-08-12T20:00:00Z,728,358
2023-08-12T21:00:00Z,609,246
2023-08-12T22:00:00Z,498,130
